Date,Close
05/11/18,2727.72
05/14/18,2730.13
05/15/18,2711.45
05/16/18,2722.46
05/17/18,2720.13
05/18/18,2712.97
05/21/18,2733.01
05/22/18,2724.44
05/23/18,2733.29
05/24/18,2727.76
05/25/18,2721.33
05/29/18,2689.86
05/30/18,2724.01
05/31/18,2705.27
06/01/18,2734.62
06/04/18,2746.87
06/05/18,2748.8
06/06/18,2772.35
06/07/18,2770.37
06/08/18,2779.03
06/11/18,2782
06/12/18,2786.85
06/13/18,2775.63
06/14/18,2782.49
06/15/18,2779.66
06/18/18,2773.75
06/19/18,2762.59
06/20/18,2767.32
06/21/18,2749.76
06/22/18,2754.88
06/25/18,2717.07
06/26/18,2723.06
06/27/18,2699.63
06/28/18,2716.31
06/29/18,2718.37
07/02/18,2726.71
07/03/18,2713.22
07/05/18,2736.61
07/06/18,2759.82
07/09/18,2784.17
07/10/18,2793.84
07/11/18,2774.02
07/12/18,2798.29
07/13/18,2801.31
07/16/18,2798.43
07/17/18,2809.55
07/18/18,2815.62
07/19/18,2804.49
07/20/18,2801.83
07/23/18,2806.98
07/24/18,2820.4
07/25/18,2846.07
07/26/18,2837.44
07/27/18,2818.82
07/30/18,2802.6
07/31/18,2816.29
08/01/18,2813.36
08/02/18,2827.22
08/03/18,2840.35
08/06/18,2850.4
08/07/18,2858.45
08/08/18,2857.7
08/09/18,2853.58
08/10/18,2833.28
08/13/18,2821.93
08/14/18,2839.96
08/15/18,2818.37
08/16/18,2840.69
08/17/18,2850.13
08/20/18,2857.05
08/21/18,2862.96
08/22/18,2861.82
08/23/18,2856.98
08/24/18,2874.69
08/27/18,2896.74
08/28/18,2897.52
08/29/18,2914.04
08/30/18,2901.13
08/31/18,2901.52
09/04/18,2896.72
09/05/18,2888.6
09/06/18,2878.05
09/07/18,2871.68
09/10/18,2877.13
09/11/18,2887.89
09/12/18,2888.92
09/13/18,2904.18
09/14/18,2904.98
09/17/18,2888.8
09/18/18,2904.31
09/19/18,2907.95
09/20/18,2930.75
09/21/18,2929.67
09/24/18,2919.37
09/25/18,2915.56
09/26/18,2905.97
09/27/18,2914
09/28/18,2913.98
10/01/18,2924.59
10/02/18,2923.43
10/03/18,2925.51
10/04/18,2901.61
10/05/18,2885.57
10/08/18,2884.43
10/09/18,2880.34
10/10/18,2785.68
10/11/18,2728.37
10/12/18,2767.13
10/15/18,2750.79
10/16/18,2809.92
10/17/18,2809.21
10/18/18,2768.78
10/19/18,2767.78
10/22/18,2755.88
10/23/18,2740.69
10/24/18,2656.1
10/25/18,2705.57
10/26/18,2658.69
10/29/18,2641.25
10/30/18,2682.63
10/31/18,2711.74
11/01/18,2740.37
11/02/18,2723.06
11/05/18,2738.31
11/06/18,2755.45
11/07/18,2813.89
11/08/18,2806.83
11/09/18,2781.01
11/12/18,2726.22
11/13/18,2722.18
11/14/18,2701.58
11/15/18,2730.2
11/16/18,2736.27
11/19/18,2690.73
11/20/18,2641.89
11/21/18,2649.93
11/23/18,2632.56
11/26/18,2673.45
11/27/18,2682.17
11/28/18,2743.79
11/29/18,2737.76
11/30/18,2760.17
12/03/18,2790.37
12/04/18,2700.06
12/06/18,2695.95
12/07/18,2633.08
12/10/18,2637.72
12/11/18,2636.78
12/12/18,2651.07
12/13/18,2650.54
12/14/18,2599.95
12/17/18,2545.94
12/18/18,2546.16
12/19/18,2506.96
12/20/18,2467.42
12/21/18,2416.62
12/24/18,2351.1
12/26/18,2467.7
12/27/18,2488.83
12/28/18,2485.74
12/31/18,2506.85
01/02/19,2510.03
01/03/19,2447.89
01/04/19,2531.94
01/07/19,2549.69
01/08/19,2574.41
01/09/19,2584.96
01/10/19,2596.64
01/11/19,2596.26
01/14/19,2582.61
01/15/19,2610.3
01/16/19,2616.1
01/17/19,2635.96
01/18/19,2670.71
01/22/19,2632.9
01/23/19,2638.7
01/24/19,2642.33
01/25/19,2664.76
01/28/19,2643.85
01/29/19,2640
01/30/19,2681.05
01/31/19,2704.1
02/01/19,2706.53
02/04/19,2724.87
02/05/19,2737.7
02/06/19,2731.61
02/07/19,2706.05
02/08/19,2707.88
02/11/19,2709.8
02/12/19,2744.73
02/13/19,2753.03
02/14/19,2745.73
02/15/19,2775.6
02/19/19,2779.76
02/20/19,2784.7
02/21/19,2774.88
02/22/19,2792.67
02/25/19,2796.11
02/26/19,2793.9
02/27/19,2792.38
02/28/19,2784.49
03/01/19,2803.69
03/04/19,2792.81
03/05/19,2789.65
03/06/19,2771.45
03/07/19,2748.93
03/08/19,2743.07
03/11/19,2783.3
03/12/19,2791.52
03/13/19,2810.92
03/14/19,2808.48
03/15/19,2822.48
03/18/19,2832.94
03/19/19,2832.57
03/20/19,2824.23
03/21/19,2854.88
03/22/19,2800.71
03/25/19,2798.36
03/26/19,2818.46
03/27/19,2805.37
03/28/19,2815.44
03/29/19,2834.4
04/01/19,2867.19
04/02/19,2867.24
04/03/19,2873.4
04/04/19,2879.39
04/05/19,2892.74
04/08/19,2895.77
04/09/19,2878.2
04/10/19,2888.21
04/11/19,2888.32
04/12/19,2907.41
04/15/19,2905.58
04/16/19,2907.06
04/17/19,2900.45
04/18/19,2905.03
04/22/19,2907.97
04/23/19,2933.68
04/24/19,2927.25
04/25/19,2926.17
04/26/19,2939.88
04/29/19,2943.03
04/30/19,2945.83
05/01/19,2923.73
05/02/19,2917.52
05/03/19,2945.64
05/06/19,2932.47
05/07/19,2884.05
05/08/19,2879.42
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
